draw_no,draw_date,winner_1st,prize_1st,winner_2nd,prize_2nd,winner_3rd,prize_3rd,winner_4th,prize_4th,winner_5th,prize_5th,num_1,num_2,num_3,num_4,num_5,num_6,bonus_num
1158,2025-02-08,21,1394358197,86,56747136,"3,032",1609583,"155,209",50000,"2,610,120",5000,21,25,27,32,37,38,20
1157,2025-02-01,12,2257842157,141,32026130,"4,549",992677,"201,847",50000,"3,100,779",5000,5,7,12,20,25,26,28
1156,2025-01-25,21,1505207090,73,72167464,"3,494",1507792,"162,883",50000,"2,706,409",5000,30,31,34,39,41,45,7
1155,2025-01-18,7,4066375179,78,60821851,"3,171",1496091,"160,366",50000,"2,654,046",5000,10,16,19,27,37,38,13
1154,2025-01-11,15,1854965425,62,74796993,"3,190",1453735,"154,785",50000,"2,559,114",5000,4,8,22,26,32,38,27
1153,2025-01-04,15,2027312925,79,64155473,"3,506",1445603,"167,692",50000,"2,848,165",5000,1,9,10,13,35,44,5
1152,2024-12-28,35,874349668,79,64561685,"3,354",1520684,"146,890",50000,"2,440,804",5000,30,31,32,35,36,37,5
1151,2024-12-21,17,1620503030,102,45013974,"3,351",1370166,"163,055",50000,"2,635,014",5000,2,3,9,15,27,29,8
1150,2024-12-14,17,1570620309,226,19690668,"3,413",1303865,"166,846",50000,"2,626,598",5000,8,9,18,35,39,45,25
1149,2024-12-07,17,1613380765,74,61773588,"2,924",1563354,"145,209",50000,"2,448,589",5000,8,15,19,21,32,36,38
1148,2024-11-30,13,2073332308,97,46311547,"3,082",1457567,"154,963",50000,"2,581,682",5000,3,6,13,15,16,22,32
1147,2024-11-23,8,3323422079,83,53388307,"3,588",1235014,"173,036",50000,"2,750,379",5000,7,11,24,26,27,37,32
1146,2024-11-16,11,2526476353,72,64331574,"3,030",1528672,"158,146",50000,"2,677,017",5000,6,11,17,19,40,43,28
1145,2024-11-09,9,3051630084,63,72657860,"3,312",1382079,"164,055",50000,"2,647,054",5000,2,11,31,33,37,44,32
1144,2024-11-02,18,1489347375,94,47532364,"3,626",1232224,"172,239",50000,"2,766,594",5000,3,4,12,15,26,34,6
1143,2024-10-26,11,2545657023,90,51855977,"3,154",1479721,"156,400",50000,"2,612,029",5000,10,16,17,27,28,36,6
1142,2024-10-19,9,3117517709,67,69795173,"2,841",1645997,"146,936",50000,"2,474,033",5000,2,8,28,30,37,41,22
1141,2024-10-12,11,2457758285,100,45058902,"3,371",1336663,"165,233",50000,"2,718,563",5000,7,11,12,21,26,35,20
1140,2024-10-05,12,2279823938,83,54935517,"3,345",1363124,"158,343",50000,"2,644,989",5000,7,10,22,29,31,38,15
1139,2024-09-28,13,2167490972,75,62616406,"3,240",1449454,"163,236",50000,"2,645,260",5000,5,12,15,30,37,40,18
1138,2024-09-21,14,1902656786,50,88790650,"2,865",1549576,"145,690",50000,"2,404,999",5000,14,16,19,20,29,34,35
1137,2024-09-14,14,2023447688,111,42534937,"3,323",1420818,"163,296",50000,"2,737,836",5000,4,9,12,15,33,45,26
1136,2024-09-07,12,2314468157,75,61719151,"2,906",1592890,"144,451",50000,"2,452,383",5000,21,33,35,38,42,44,1
1135,2024-08-31,9,2953726125,91,48687794,"3,417",1296632,"163,808",50000,"2,654,691",5000,1,6,13,19,21,33,4
1134,2024-08-24,14,1755689384,97,42233078,"3,961",1034236,"180,353",50000,"2,807,905",5000,3,7,9,13,19,24,23
1133,2024-08-17,13,2105079491,73,62479529,"2,737",1666426,"143,047",50000,"2,393,005",5000,13,14,20,28,29,34,23
1132,2024-08-10,11,2404951807,73,60398334,"3,086",1428736,"148,359",50000,"2,463,697",5000,6,7,19,28,34,41,5
1131,2024-08-03,17,1542367898,56,78036471,"2,861",1527453,"144,842",50000,"2,471,592",5000,1,2,6,14,27,38,33
1130,2024-07-27,12,2263301219,69,65602934,"2,900",1560898,"137,397",50000,"2,334,975",5000,15,19,21,25,27,28,40
1129,2024-07-20,11,2369567660,107,40600069,"3,142",1382625,"154,322",50000,"2,542,398",5000,5,10,11,17,28,34,22
1128,2024-07-13,63,419925560,77,57262577,"2,987",1476137,"153,592",50000,"2,545,750",5000,1,5,8,16,28,33,45
1127,2024-07-06,12,2267891969,84,53997428,"3,007",1508409,"145,646",50000,"2,443,423",5000,10,15,24,30,31,37,32
1126,2024-06-29,11,2386382421,91,48077302,"3,114",1404957,"157,300",50000,"2,626,764",5000,4,5,9,11,37,40,7
1125,2024-06-22,12,2195289188,78,56289467,"3,066",1432022,"147,313",50000,"2,442,674",5000,6,14,25,33,40,44,30
1124,2024-06-15,10,2623327913,87,50255324,"3,123",1400005,"158,630",50000,"2,619,643",5000,3,8,17,30,33,34,28
1123,2024-06-08,16,1731310711,77,59958813,"2,945",1567684,"147,087",50000,"2,456,500",5000,13,19,21,24,34,35,26
1122,2024-06-01,11,2556266046,99,47338261,"2,932",1598393,"151,473",50000,"2,540,890",5000,3,6,21,30,34,35,22
1121,2024-05-25,11,2524513262,76,60898347,"2,956",1565723,"148,984",50000,"2,494,773",5000,6,24,31,32,38,44,8
1120,2024-05-18,11,2522163375,91,50812816,"3,049",1516552,"154,910",50000,"2,532,990",5000,2,19,26,31,38,41,34
